Ex-dividend date,Payable date,Dividend amount (change),Adjusted Price,Close Price
2026-02-09,2026-02-12,0.2600 USD                                                                       ,Upcoming dividend,
2025-11-10,2025-11-13,0.2600 USD                                                                       ,270.37 USD,270.37 USD
2025-08-11,2025-08-14,0.2600 USD                                                                       ,202.38 USD,202.38 USD
2025-05-12,2025-05-15,0.2600 USD                                                                                                   (4%)                                                  ,205.35 USD,205.35 USD
2025-02-10,2025-02-13,0.2500 USD                                                                       ,234.32 USD,234.32 USD
2024-11-08,2024-11-14,0.2500 USD                                                                       ,222.91 USD,222.91 USD
2024-08-12,2024-08-15,0.2500 USD                                                                       ,219.86 USD,219.86 USD
2024-05-10,2024-05-16,0.2500 USD                                                                                                   (4.17%)                                                  ,183.36 USD,183.36 USD
2024-02-09,2024-02-15,0.2400 USD                                                                       ,185.85 USD,185.85 USD
2023-11-10,2023-11-16,0.2400 USD                                                                       ,173.97 USD,173.97 USD
2023-08-11,2023-08-17,0.2400 USD                                                                       ,187.87 USD,187.87 USD
2023-05-12,2023-05-18,0.2400 USD                                                                                                   (4.35%)                                                  ,172.57 USD,172.57 USD
2023-02-10,2023-02-16,0.2300 USD                                                                       ,150.80 USD,151.01 USD
2022-11-04,2022-11-10,0.2300 USD                                                                       ,137.98 USD,138.38 USD
2022-08-05,2022-08-11,0.2300 USD                                                                       ,164.60 USD,165.35 USD
2022-05-06,2022-05-12,0.2300 USD                                                                                                   (4.55%)                                                  ,156.35 USD,157.28 USD
2022-02-04,2022-02-10,0.2200 USD                                                                       ,171.12 USD,172.39 USD
2021-11-05,2021-11-11,0.2200 USD                                                                       ,149.97 USD,151.28 USD
2021-08-06,2021-08-12,0.2200 USD                                                                       ,144.66 USD,146.14 USD
2021-05-07,2021-05-13,0.2200 USD                                                                                                   (7.32%)                                                  ,128.70 USD,130.21 USD
2021-02-05,2021-02-11,0.2050 USD                                                                       ,134.95 USD,136.76 USD
2020-11-06,2020-11-12,0.2050 USD                                                                       ,116.94 USD,118.69 USD
2020-08-07,2020-08-13,0.2050 USD                                                                       ,109.29 USD,111.11 USD
2020-05-08,2020-05-14,0.2050 USD                                                                                                   (6.49%)                                                  ,77.26 USD,77.53 USD
2020-02-07,2020-02-13,0.1925 USD                                                                       ,78.34 USD,80.01 USD
2019-11-07,2019-11-14,0.1925 USD                                                                       ,63.35 USD,64.86 USD
2019-08-09,2019-08-15,0.1925 USD                                                                       ,48.94 USD,50.25 USD
2019-05-10,2019-05-16,0.1925 USD                                                                                                   (5.48%)                                                  ,47.83 USD,49.29 USD
2019-02-08,2019-02-14,0.1825 USD                                                                       ,41.18 USD,42.60 USD
2018-11-08,2018-11-15,0.1825 USD                                                                       ,50.16 USD,52.12 USD
2018-08-10,2018-08-16,0.1825 USD                                                                       ,49.76 USD,51.88 USD
2018-05-11,2018-05-17,0.1825 USD                                                                                                   (15.87%)                                                  ,45.06 USD,47.15 USD
2018-02-09,2018-02-15,0.1575 USD                                                                       ,37.23 USD,39.10 USD
2017-11-10,2017-11-16,0.1575 USD                                                                       ,41.40 USD,43.67 USD
2017-08-10,2017-08-17,0.1575 USD                                                                       ,36.68 USD,38.83 USD
2017-05-11,2017-05-18,0.1575 USD                                                                                                   (10.53%)                                                  ,36.22 USD,38.49 USD
2017-02-09,2017-02-16,0.1425 USD                                                                       ,31.03 USD,33.10 USD
2016-11-03,2016-11-10,0.1425 USD                                                                       ,25.62 USD,27.46 USD
2016-08-04,2016-08-11,0.1425 USD                                                                       ,24.57 USD,26.47 USD
2016-05-05,2016-05-12,0.1425 USD                                                                                                   (9.62%)                                                  ,21.52 USD,23.31 USD
2016-02-04,2016-02-11,0.1300 USD                                                                       ,22.16 USD,24.15 USD
2015-11-05,2015-11-12,0.1300 USD                                                                       ,27.59 USD,30.23 USD
2015-08-06,2015-08-13,0.1300 USD                                                                       ,26.16 USD,28.78 USD
