Date,Adjusted price,Real price
February 2026 ,$273.96,$273.96
January 2026 ,$259.48,$259.48
December 2025 ,$271.86,$271.86
November 2025 ,$278.85,$278.85
October 2025 ,$270.11,$270.37
September 2025 ,$254.38,$254.63
August 2025 ,$231.92,$232.14
July 2025 ,$207.13,$207.57
June 2025 ,$204.74,$205.17
May 2025 ,$200.43,$200.85
April 2025 ,$211.78,$212.50
March 2025 ,$221.37,$222.13
February 2025 ,$241.02,$241.84
January 2025 ,$234.94,$236
December 2024 ,$249.29,$250.42
November 2024 ,$236.26,$237.33
October 2024 ,$224.65,$225.91
September 2024 ,$231.70,$233
August 2024 ,$227.72,$229
July 2024 ,$220.58,$222.08
June 2024 ,$209.20,$210.62
May 2024 ,$190.95,$192.25
April 2024 ,$168.95,$170.33
March 2024 ,$170.09,$171.48
February 2024 ,$179.29,$180.75
January 2024 ,$182.68,$184.40
December 2023 ,$190.73,$192.53
November 2023 ,$188.17,$189.95
October 2023 ,$168.95,$170.77
September 2023 ,$169.38,$171.21
August 2023 ,$185.87,$187.87
July 2023 ,$194.09,$196.45
June 2023 ,$191.64,$193.97
May 2023 ,$175.12,$177.25
April 2023 ,$167.41,$169.68
March 2023 ,$162.70,$164.90
February 2023 ,$145.44,$147.41
January 2023 ,$142.15,$144.29
December 2022 ,$128,$129.93
November 2022 ,$145.83,$148.03
October 2022 ,$150.81,$153.34
September 2022 ,$135.92,$138.20
August 2022 ,$154.63,$157.22
July 2022 ,$159.61,$162.51
June 2022 ,$134.28,$136.72
May 2022 ,$146.18,$148.84
April 2022 ,$154.61,$157.65
March 2022 ,$171.24,$174.61
February 2022 ,$161.93,$165.12
January 2022 ,$171.19,$174.78
December 2021 ,$173.92,$177.57
November 2021 ,$161.90,$165.30
October 2021 ,$146.51,$149.80
September 2021 ,$138.39,$141.50
August 2021 ,$148.49,$151.83
July 2021 ,$142.44,$145.86
June 2021 ,$133.75,$136.96
May 2021 ,$121.69,$124.61
April 2021 ,$128.16,$131.46
March 2021 ,$119.08,$122.15
February 2021 ,$118.22,$121.26
January 2021 ,$128.46,$131.96
December 2020 ,$129.17,$132.69
November 2020 ,$115.89,$119.05
October 2020 ,$105.79,$108.86
September 2020 ,$112.54,$115.81
August 2020 ,$125.40,$129.04
July 2020 ,$103.08,$425.04
June 2020 ,$88.47,$364.80
May 2020 ,$77.10,$317.94
April 2020 ,$71.06,$293.80
March 2020 ,$61.50,$254.29
February 2020 ,$66.11,$273.36
January 2020 ,$74.68,$309.51
December 2019 ,$70.85,$293.65
November 2019 ,$64.48,$267.25
October 2019 ,$59.84,$248.76
September 2019 ,$53.88,$223.97
August 2019 ,$50.21,$208.74
July 2019 ,$51.05,$213.04
June 2019 ,$47.43,$197.92
May 2019 ,$41.96,$175.07
April 2019 ,$47.90,$200.67
March 2019 ,$45.35,$189.95
February 2019 ,$41.34,$173.15
January 2019 ,$39.56,$166.44
December 2018 ,$37.50,$157.74
November 2018 ,$42.45,$178.58
October 2018 ,$51.84,$218.86
September 2018 ,$53.47,$225.74
August 2018 ,$53.92,$227.63
July 2018 ,$44.92,$190.29
June 2018 ,$43.70,$185.11
May 2018 ,$44.11,$186.87
April 2018 ,$38.86,$165.26
March 2018 ,$39.45,$167.78
February 2018 ,$41.88,$178.12
January 2018 ,$39.21,$167.43
December 2017 ,$39.63,$169.23
November 2017 ,$40.25,$171.85
October 2017 ,$39.45,$169.04
September 2017 ,$35.96,$154.12
August 2017 ,$38.27,$164
July 2017 ,$34.57,$148.73
June 2017 ,$33.48,$144.02
May 2017 ,$35.51,$152.76
April 2017 ,$33.25,$143.65
March 2017 ,$33.26,$143.66
February 2017 ,$31.71,$136.99
January 2017 ,$27.97,$121.35
December 2016 ,$26.70,$115.82
November 2016 ,$25.47,$110.52
October 2016 ,$26.04,$113.54
September 2016 ,$25.92,$113.05
August 2016 ,$24.33,$106.10
July 2016 ,$23.77,$104.21
June 2016 ,$21.80,$95.60
May 2016 ,$22.78,$99.86
April 2016 ,$21.25,$93.74
March 2016 ,$24.71,$108.99
February 2016 ,$21.92,$96.69
January 2016 ,$21.95,$97.34
December 2015 ,$23.73,$105.26
November 2015 ,$26.67,$118.30
October 2015 ,$26.83,$119.50
September 2015 ,$24.76,$110.30
August 2015 ,$25.32,$112.76
July 2015 ,$27.11,$121.30
June 2015 ,$28.03,$125.43
May 2015 ,$29.12,$130.28
April 2015 ,$27.85,$125.15
March 2015 ,$27.69,$124.43
February 2015 ,$28.59,$128.46
January 2015 ,$25.97,$117.16
December 2014 ,$24.47,$110.38
November 2014 ,$26.37,$118.93
October 2014 ,$23.84,$108
September 2014 ,$22.24,$100.75
August 2014 ,$22.62,$102.50
July 2014 ,$21,$95.60
June 2014 ,$20.41,$92.93
May 2014 ,$19.86,$633
April 2014 ,$18.41,$590.09
March 2014 ,$16.75,$536.74
February 2014 ,$16.42,$526.24
January 2014 ,$15.53,$500.60
December 2013 ,$17.40,$561.02
November 2013 ,$17.25,$556.07
October 2013 ,$16.12,$522.70
September 2013 ,$14.70,$476.75
August 2013 ,$15.02,$487.22
July 2013 ,$13.86,$452.53
June 2013 ,$12.15,$396.53
May 2013 ,$13.78,$449.73
April 2013 ,$13.48,$442.78
March 2013 ,$13.47,$442.66
February 2013 ,$13.43,$441.40
January 2013 ,$13.78,$455.49
December 2012 ,$16.10,$532.17
November 2012 ,$17.71,$585.28
October 2012 ,$17.93,$595.32
September 2012 ,$20.09,$667.10
August 2012 ,$20.04,$665.24
July 2012 ,$18.32,$610.76
June 2012 ,$17.52,$584
May 2012 ,$17.33,$577.73
April 2012 ,$17.51,$583.98
March 2012 ,$17.98,$599.55
February 2012 ,$16.27,$542.44
January 2012 ,$13.69,$456.48
December 2011 ,$12.15,$405
November 2011 ,$11.46,$382.20
October 2011 ,$12.14,$404.78
September 2011 ,$11.44,$381.32
August 2011 ,$11.54,$384.83
July 2011 ,$11.71,$390.48
June 2011 ,$10.07,$335.67
May 2011 ,$10.43,$347.83
April 2011 ,$10.50,$350.13
March 2011 ,$10.45,$348.51
February 2011 ,$10.59,$353.21
January 2011 ,$10.18,$339.32
December 2010 ,$9.67,$322.56
November 2010 ,$9.33,$311.15
October 2010 ,$9.03,$300.98
September 2010 ,$8.51,$283.75
August 2010 ,$7.29,$243.10
July 2010 ,$7.72,$257.25
June 2010 ,$7.54,$251.53
May 2010 ,$7.70,$256.88
April 2010 ,$7.83,$261.09
March 2010 ,$7.05,$235
February 2010 ,$6.14,$204.62
January 2010 ,$5.76,$192.06
December 2009 ,$6.32,$210.73
November 2009 ,$6,$199.91
October 2009 ,$5.65,$188.50
September 2009 ,$5.56,$185.35
August 2009 ,$5.04,$168.21
July 2009 ,$4.90,$163.39
June 2009 ,$4.27,$142.43
May 2009 ,$4.07,$135.81
April 2009 ,$3.77,$125.83
March 2009 ,$3.15,$105.12
February 2009 ,$2.68,$89.31
January 2009 ,$2.70,$90.13
December 2008 ,$2.56,$85.35
November 2008 ,$2.78,$92.67
