Ticker,FiscalPeriod,Amount,Yield,Payout,Estimate
AAPL,2015FY,0.49,1.73,21.48,False
AAPL,2016FY,0.55,1.93,26.23,False
AAPL,2017FY,0.6,1.56,26.06,False
AAPL,2018FY,0.68,1.2,22.84,False
AAPL,2019FY,0.75,1.37,25.24,False
AAPL,2020FY,0.8,0.71,24.27,False
AAPL,2021FY,0.85,0.58,15.14,False
AAPL,2022FY,0.9,0.6,14.72,False
AAPL,2023FY,0.94,0.55,15.32,False
AAPL,2024FY,0.98,0.43,16.11,False
AAPL,2025FY,1.02,0.4,13.66,False
AAPL,2026FY,1.07,0.41,,True
AAPL,2027FY,1.12,0.43,,True
AAPL,2028FY,1.17,0.45,,True
AAPL,2029FY,1.07,0.4,,True
