Ticker,Exdate,Ordinary,Special
AAPL,2026-02-10,0.26,0
AAPL,2025-11-10,0.26,0
AAPL,2025-08-11,0.26,0
AAPL,2025-05-12,0.26,0
AAPL,2025-02-10,0.25,0
AAPL,2024-11-08,0.25,0
AAPL,2024-08-12,0.25,0
AAPL,2024-05-10,0.25,0
AAPL,2024-02-09,0.24,0
AAPL,2023-11-10,0.24,0
AAPL,2023-08-11,0.24,0
AAPL,2023-05-12,0.24,0
AAPL,2023-02-10,0.23,0
AAPL,2022-11-04,0.23,0
AAPL,2022-08-05,0.23,0
AAPL,2022-05-06,0.23,0
AAPL,2022-02-04,0.22,0
AAPL,2021-11-05,0.22,0
AAPL,2021-08-06,0.22,0
AAPL,2021-05-07,0.22,0
AAPL,2021-02-05,0.205,0
AAPL,2020-11-06,0.205,0
AAPL,2020-08-07,0.205,0
AAPL,2020-05-08,0.205,0
AAPL,2020-02-07,0.192,0
AAPL,2019-11-07,0.192,0
AAPL,2019-08-09,0.192,0
AAPL,2019-05-10,0.192,0
AAPL,2019-02-08,0.182,0
AAPL,2018-11-08,0.182,0
AAPL,2018-08-10,0.182,0
AAPL,2018-05-11,0.182,0
AAPL,2018-02-09,0.158,0
AAPL,2017-11-10,0.158,0
AAPL,2017-08-10,0.158,0
AAPL,2017-05-11,0.158,0
AAPL,2017-02-09,0.142,0
AAPL,2016-11-03,0.142,0
AAPL,2016-08-04,0.142,0
AAPL,2016-05-05,0.142,0
AAPL,2016-02-04,0.13,0
