ticker,fiscalPeriod,earningsDate,fiscalEndDate,epsActual,epsEstimate,epsReportedActual,epsReportedEstimate,salesActual,salesEstimate,epsAnalysts,epsReportedAnalysts,salesAnalysts
AAPL,2026Q1,2026-01-29T16:30:00,2025-12-31,2.84,2.6733,2.84,2.6733,143756.0,138391.0076,31.0,31.0,29.0
AAPL,2025Q4,2025-10-30T16:30:00,2025-09-30,1.85,1.7771,1.848,1.7771,102466.0,102227.0746,31.0,31.0,32.0
AAPL,2025Q3,2025-07-31T16:30:00,2025-06-30,1.57,1.438,1.568,1.438,94036.0,89562.7364,29.0,29.0,28.0
AAPL,2025Q2,2025-05-01T16:30:00,2025-03-31,1.65,1.6273,1.646,1.6273,95359.0,94542.1815,31.0,31.0,30.0
AAPL,2025Q1,2025-01-30T16:30:00,2024-12-31,2.4,2.3477,2.398,2.3477,124300.0,124257.3932,32.0,32.0,34.0
AAPL,2024Q4,2024-10-31T16:30:00,2024-09-30,0.97,1.6004,0.967,1.6004,94930.0,94511.9533,27.0,27.0,31.0
AAPL,2024Q3,2024-08-01T16:30:00,2024-06-30,1.4,1.3446,1.397,1.3446,85777.0,84432.5395,29.0,29.0,28.0
AAPL,2024Q2,2024-05-02T16:30:00,2024-03-31,1.53,1.5051,1.528,1.5051,90753.0,90366.1059,34.0,34.0,31.0
AAPL,2024Q1,2024-02-01T16:30:00,2023-12-31,2.18,2.1007,2.177,2.1007,119575.0,117986.5965,32.0,32.0,29.0
AAPL,2023Q4,2023-11-02T16:30:00,2023-09-30,1.46,1.3922,1.465,1.3922,89498.0,89343.8421,34.0,34.0,30.0
AAPL,2023Q3,2023-08-03T16:30:00,2023-06-30,1.26,1.1953,1.26,1.1953,81797.0,81794.916,31.0,31.0,28.0
AAPL,2023Q2,2023-05-04T16:30:00,2023-03-31,1.52,1.4291,1.525,1.4291,94836.0,92906.0496,31.0,31.0,31.0
AAPL,2023Q1,2023-02-02T16:30:00,2022-12-31,1.88,1.9388,1.88,1.9388,117154.0,121333.2999,29.0,29.0,26.0
AAPL,2022Q4,2022-10-27T16:30:00,2022-09-30,1.29,1.268,1.286,1.268,90146.0,88739.2791,31.0,31.0,28.0
AAPL,2022Q3,2022-07-28T16:30:00,2022-06-30,1.2,1.1635,1.196,1.1635,82959.0,82791.2437,32.0,32.0,28.0
AAPL,2022Q2,2022-04-28T16:30:00,2022-03-31,1.52,1.424,1.525,1.424,97278.0,94033.7967,33.0,33.0,29.0
AAPL,2022Q1,2022-01-27T16:30:00,2021-12-31,2.1,1.8991,2.096,1.8991,123945.0,119002.5026,34.0,34.0,30.0
