ticker,reportDate,fiscalPeriod,fiscalEndDate,chartStartDate,chartEndDate,rsi,reactions
AAPL,2026-01-29T16:30:00,2026Q1,2025-12-31,2026-01-27,2026-02-04,46.3,"{'minus_3_days': {'date': '2026-01-27', 'price': 258.27, 'prevPrice': 255.41, 'priceDiff': 1.1197586, 'spyPriceDiff': 0.39842224}, 'minus_2_days': {'date': '2026-01-28', 'price': 256.44, 'prevPrice': 258.27, 'priceDiff': -0.7085571, 'spyPriceDiff': -0.010070801}, 'minus_1_day': {'date': '2026-01-29', 'price': 258.28, 'prevPrice': 256.44, 'priceDiff': 0.71752167, 'spyPriceDiff': -0.19844055}, 'open': {'date': '2026-01-30', 'price': 255.165, 'prevPrice': 258.28, 'priceDiff': -1.2060547, 'spyPriceDiff': -0.32418823}, 'high': {'date': '2026-01-30', 'price': 261.8999, 'prevPrice': 258.28, 'priceDiff': 1.4015427, 'spyPriceDiff': 0.024497986}, 'low': {'date': '2026-01-30', 'price': 252.18, 'prevPrice': 258.28, 'priceDiff': -2.3617783, 'spyPriceDiff': -0.9970627}, 'close': {'date': '2026-01-30', 'price': 259.48, 'prevPrice': 258.28, 'priceDiff': 0.46461487, 'spyPriceDiff': -0.29825592}, 'plus_1_day': {'date': '2026-02-02', 'price': 270.01, 'prevPrice': 259.48, 'priceDiff': 4.058113, 'spyPriceDiff': 0.49712372}, 'plus_2_days': {'date': '2026-02-03', 'price': 269.48, 'prevPrice': 270.01, 'priceDiff': -0.19628906, 'spyPriceDiff': -0.8455353}, 'plus_3_days': {'date': '2026-02-04', 'price': 276.49, 'prevPrice': 269.48, 'priceDiff': 2.601303, 'spyPriceDiff': -0.48439026}, 'plus_1_week': {'date': '2026-02-06', 'price': 278.12, 'prevPrice': 275.91, 'priceDiff': 0.8009796, 'spyPriceDiff': 1.9184799}, 'minus_1_week': {'date': '2026-01-23', 'price': 248.04, 'prevPrice': 248.35, 'priceDiff': -0.12483215, 'spyPriceDiff': 0.0362854}}"
AAPL,2025-10-30T16:30:00,2025Q4,2025-09-30,2025-10-28,2025-11-05,71.1,"{'minus_3_days': {'date': '2025-10-28', 'price': 269, 'prevPrice': 268.81, 'priceDiff': 0.07067871, 'spyPriceDiff': 0.26559448}, 'minus_2_days': {'date': '2025-10-29', 'price': 269.7, 'prevPrice': 269, 'priceDiff': 0.2602234, 'spyPriceDiff': 0.04802704}, 'minus_1_day': {'date': '2025-10-30', 'price': 271.4, 'prevPrice': 269.7, 'priceDiff': 0.6303177, 'spyPriceDiff': -1.0998154}, 'open': {'date': '2025-10-31', 'price': 276.99, 'prevPrice': 271.4, 'priceDiff': 2.0596848, 'spyPriceDiff': 0.7663574}, 'high': {'date': '2025-10-31', 'price': 277.32, 'prevPrice': 271.4, 'priceDiff': 2.1812897, 'spyPriceDiff': 0.7722473}, 'low': {'date': '2025-10-31', 'price': 269.16, 'prevPrice': 271.4, 'priceDiff': -0.8253479, 'spyPriceDiff': -0.08679199}, 'close': {'date': '2025-10-31', 'price': 270.37, 'prevPrice': 271.4, 'priceDiff': -0.3795166, 'spyPriceDiff': 0.3280182}, 'plus_1_day': {'date': '2025-11-03', 'price': 269.05, 'prevPrice': 270.37, 'priceDiff': -0.4882202, 'spyPriceDiff': 0.18766785}, 'plus_2_days': {'date': '2025-11-04', 'price': 270.04, 'prevPrice': 269.05, 'priceDiff': 0.3679657, 'spyPriceDiff': -1.1853561}, 'plus_3_days': {'date': '2025-11-05', 'price': 270.14, 'prevPrice': 270.04, 'priceDiff': 0.03704071, 'spyPriceDiff': 0.34655}, 'plus_1_week': {'date': '2025-11-07', 'price': 268.47, 'prevPrice': 269.77, 'priceDiff': -0.48188782, 'spyPriceDiff': 0.09845734}, 'minus_1_week': {'date': '2025-10-24', 'price': 262.82, 'prevPrice': 259.58, 'priceDiff': 1.2481842, 'spyPriceDiff': 0.8172531}}"
AAPL,2025-07-31T16:30:00,2025Q3,2025-06-30,2025-07-29,2025-08-06,45.1,"{'minus_3_days': {'date': '2025-07-29', 'price': 211.27, 'prevPrice': 214.05, 'priceDiff': -1.2987595, 'spyPriceDiff': -0.26376343}, 'minus_2_days': {'date': '2025-07-30', 'price': 209.05, 'prevPrice': 211.27, 'priceDiff': -1.0507889, 'spyPriceDiff': -0.12593079}, 'minus_1_day': {'date': '2025-07-31', 'price': 207.57, 'prevPrice': 209.05, 'priceDiff': -0.70796204, 'spyPriceDiff': -0.37512207}, 'open': {'date': '2025-08-01', 'price': 210.865, 'prevPrice': 207.57, 'priceDiff': 1.5874176, 'spyPriceDiff': -0.9144516}, 'high': {'date': '2025-08-01', 'price': 213.58, 'prevPrice': 207.57, 'priceDiff': 2.895401, 'spyPriceDiff': -0.9081116}, 'low': {'date': '2025-08-01', 'price': 201.5, 'prevPrice': 207.57, 'priceDiff': -2.9243164, 'spyPriceDiff': -2.0234833}, 'close': {'date': '2025-08-01', 'price': 202.38, 'prevPrice': 207.57, 'priceDiff': -2.5003586, 'spyPriceDiff': -1.6390381}, 'plus_1_day': {'date': '2025-08-04', 'price': 203.35, 'prevPrice': 202.38, 'priceDiff': 0.47929382, 'spyPriceDiff': 1.5199814}, 'plus_2_days': {'date': '2025-08-05', 'price': 202.92, 'prevPrice': 203.35, 'priceDiff': -0.2114563, 'spyPriceDiff': -0.50699615}, 'plus_3_days': {'date': '2025-08-06', 'price': 213.25, 'prevPrice': 202.92, 'priceDiff': 5.0906754, 'spyPriceDiff': 0.7659683}, 'plus_1_week': {'date': '2025-08-08', 'price': 229.35, 'prevPrice': 220.03, 'priceDiff': 4.235794, 'spyPriceDiff': 0.779747}, 'minus_1_week': {'date': '2025-07-25', 'price': 213.88, 'prevPrice': 213.76, 'priceDiff': 0.056144714, 'spyPriceDiff': 0.42243195}}"
AAPL,2025-05-01T16:30:00,2025Q2,2025-03-31,2025-04-29,2025-05-07,54.8,"{'minus_3_days': {'date': '2025-04-29', 'price': 211.21, 'prevPrice': 210.14, 'priceDiff': 0.5091934, 'spyPriceDiff': 0.6299362}, 'minus_2_days': {'date': '2025-04-30', 'price': 212.5, 'prevPrice': 211.21, 'priceDiff': 0.6107712, 'spyPriceDiff': 0.03968811}, 'minus_1_day': {'date': '2025-05-01', 'price': 213.32, 'prevPrice': 212.5, 'priceDiff': 0.38587952, 'spyPriceDiff': 0.7087021}, 'open': {'date': '2025-05-02', 'price': 206.09, 'prevPrice': 213.32, 'priceDiff': -3.3892822, 'spyPriceDiff': 1.1209259}, 'high': {'date': '2025-05-02', 'price': 206.99, 'prevPrice': 213.32, 'priceDiff': -2.9673767, 'spyPriceDiff': 1.7745056}, 'low': {'date': '2025-05-02', 'price': 202.16, 'prevPrice': 213.32, 'priceDiff': -5.231575, 'spyPriceDiff': 0.70012665}, 'close': {'date': '2025-05-02', 'price': 205.35, 'prevPrice': 213.32, 'priceDiff': -3.7361755, 'spyPriceDiff': 1.4844208}, 'plus_1_day': {'date': '2025-05-05', 'price': 198.89, 'prevPrice': 205.35, 'priceDiff': -3.1458511, 'spyPriceDiff': -0.5734329}, 'plus_2_days': {'date': '2025-05-06', 'price': 198.51, 'prevPrice': 198.89, 'priceDiff': -0.19106293, 'spyPriceDiff': -0.8358383}, 'plus_3_days': {'date': '2025-05-07', 'price': 196.25, 'prevPrice': 198.51, 'priceDiff': -1.1384811, 'spyPriceDiff': 0.4205475}, 'plus_1_week': {'date': '2025-05-09', 'price': 198.53, 'prevPrice': 197.49, 'priceDiff': 0.5266037, 'spyPriceDiff': -0.12741852}, 'minus_1_week': {'date': '2025-04-25', 'price': 209.28, 'prevPrice': 208.37, 'priceDiff': 0.4367218, 'spyPriceDiff': 0.72252655}}"
AAPL,2025-01-30T16:30:00,2025Q1,2024-12-31,2025-01-28,2025-02-05,51.3,"{'minus_3_days': {'date': '2025-01-28', 'price': 238.26, 'prevPrice': 229.86, 'priceDiff': 3.654396, 'spyPriceDiff': 0.8592377}, 'minus_2_days': {'date': '2025-01-29', 'price': 239.36, 'prevPrice': 238.26, 'priceDiff': 0.46168518, 'spyPriceDiff': -0.4482956}, 'minus_1_day': {'date': '2025-01-30', 'price': 237.59, 'prevPrice': 239.36, 'priceDiff': -0.73947144, 'spyPriceDiff': 0.53671265}, 'open': {'date': '2025-01-31', 'price': 247.19, 'prevPrice': 237.59, 'priceDiff': 4.040573, 'spyPriceDiff': 0.4065857}, 'high': {'date': '2025-01-31', 'price': 247.19, 'prevPrice': 237.59, 'priceDiff': 4.040573, 'spyPriceDiff': 0.8131714}, 'low': {'date': '2025-01-31', 'price': 233.44, 'prevPrice': 237.59, 'priceDiff': -1.7467041, 'spyPriceDiff': -0.659462}, 'close': {'date': '2025-01-31', 'price': 236, 'prevPrice': 237.59, 'priceDiff': -0.66922, 'spyPriceDiff': -0.5321884}, 'plus_1_day': {'date': '2025-02-03', 'price': 228.01, 'prevPrice': 236, 'priceDiff': -3.3855972, 'spyPriceDiff': -0.67295074}, 'plus_2_days': {'date': '2025-02-04', 'price': 232.8, 'prevPrice': 228.01, 'priceDiff': 2.100792, 'spyPriceDiff': 0.6708298}, 'plus_3_days': {'date': '2025-02-05', 'price': 232.47, 'prevPrice': 232.8, 'priceDiff': -0.14175415, 'spyPriceDiff': 0.40545654}, 'plus_1_week': {'date': '2025-02-07', 'price': 227.63, 'prevPrice': 233.22, 'priceDiff': -2.3968735, 'spyPriceDiff': -0.91535187}, 'minus_1_week': {'date': '2025-01-24', 'price': 222.78, 'prevPrice': 223.66, 'priceDiff': -0.3934555, 'spyPriceDiff': -0.29192352}}"
AAPL,2024-10-31T16:30:00,2024Q4,2024-09-30,2024-10-29,2024-11-06,43.5,"{'minus_3_days': {'date': '2024-10-29', 'price': 233.67, 'prevPrice': 233.4, 'priceDiff': 0.11567688, 'spyPriceDiff': 0.16183472}, 'minus_2_days': {'date': '2024-10-30', 'price': 230.1, 'prevPrice': 233.67, 'priceDiff': -1.5277939, 'spyPriceDiff': -0.30252838}, 'minus_1_day': {'date': '2024-10-31', 'price': 225.91, 'prevPrice': 230.1, 'priceDiff': -1.8209457, 'spyPriceDiff': -1.9603043}, 'open': {'date': '2024-11-01', 'price': 220.965, 'prevPrice': 225.91, 'priceDiff': -2.1889267, 'spyPriceDiff': 0.4712906}, 'high': {'date': '2024-11-01', 'price': 225.35, 'prevPrice': 225.91, 'priceDiff': -0.24788666, 'spyPriceDiff': 1.2151718}, 'low': {'date': '2024-11-01', 'price': 220.27, 'prevPrice': 225.91, 'priceDiff': -2.4965668, 'spyPriceDiff': 0.34819794}, 'close': {'date': '2024-11-01', 'price': 222.91, 'prevPrice': 225.91, 'priceDiff': -1.3279648, 'spyPriceDiff': 0.42205048}, 'plus_1_day': {'date': '2024-11-04', 'price': 222.01, 'prevPrice': 222.91, 'priceDiff': -0.4037552, 'spyPriceDiff': -0.21539307}, 'plus_2_days': {'date': '2024-11-05', 'price': 223.45, 'prevPrice': 222.01, 'priceDiff': 0.6486206, 'spyPriceDiff': 1.2091751}, 'plus_3_days': {'date': '2024-11-06', 'price': 222.72, 'prevPrice': 223.45, 'priceDiff': -0.32669067, 'spyPriceDiff': 2.4865494}, 'plus_1_week': {'date': '2024-11-08', 'price': 226.96, 'prevPrice': 227.48, 'priceDiff': -0.22858429, 'spyPriceDiff': 0.43317413}, 'minus_1_week': {'date': '2024-10-25', 'price': 231.41, 'prevPrice': 230.57, 'priceDiff': 0.36431885, 'spyPriceDiff': -0.03453064}}"
AAPL,2024-08-01T16:30:00,2024Q3,2024-06-30,2024-07-30,2024-08-07,48.5,"{'minus_3_days': {'date': '2024-07-30', 'price': 218.8, 'prevPrice': 218.24, 'priceDiff': 0.25659943, 'spyPriceDiff': -0.5066452}, 'minus_2_days': {'date': '2024-07-31', 'price': 222.08, 'prevPrice': 218.8, 'priceDiff': 1.4990845, 'spyPriceDiff': 1.6254654}, 'minus_1_day': {'date': '2024-08-01', 'price': 218.36, 'prevPrice': 222.08, 'priceDiff': -1.6750717, 'spyPriceDiff': -1.4160919}, 'open': {'date': '2024-08-02', 'price': 219.15, 'prevPrice': 218.36, 'priceDiff': 0.3617859, 'spyPriceDiff': -1.3369904}, 'high': {'date': '2024-08-02', 'price': 225.6, 'prevPrice': 218.36, 'priceDiff': 3.315628, 'spyPriceDiff': -1.1086426}, 'low': {'date': '2024-08-02', 'price': 217.71, 'prevPrice': 218.36, 'priceDiff': -0.29766846, 'spyPriceDiff': -2.6537323}, 'close': {'date': '2024-08-02', 'price': 219.86, 'prevPrice': 218.36, 'priceDiff': 0.68694305, 'spyPriceDiff': -1.8618393}, 'plus_1_day': {'date': '2024-08-05', 'price': 209.27, 'prevPrice': 219.86, 'priceDiff': -4.816696, 'spyPriceDiff': -2.9123688}, 'plus_2_days': {'date': '2024-08-06', 'price': 207.23, 'prevPrice': 209.27, 'priceDiff': -0.974823, 'spyPriceDiff': 0.9219513}, 'plus_3_days': {'date': '2024-08-07', 'price': 209.82, 'prevPrice': 207.23, 'priceDiff': 1.2498245, 'spyPriceDiff': -0.6684036}, 'plus_1_week': {'date': '2024-08-09', 'price': 216.24, 'prevPrice': 213.31, 'priceDiff': 1.3735886, 'spyPriceDiff': 0.44096375}, 'minus_1_week': {'date': '2024-07-26', 'price': 217.96, 'prevPrice': 217.49, 'priceDiff': 0.2161026, 'spyPriceDiff': 1.1199722}}"
AAPL,2024-05-02T16:30:00,2024Q2,2024-03-31,2024-04-30,2024-05-08,54.2,"{'minus_3_days': {'date': '2024-04-30', 'price': 170.33, 'prevPrice': 173.5, 'priceDiff': -1.8270874, 'spyPriceDiff': -1.5841217}, 'minus_2_days': {'date': '2024-05-01', 'price': 169.3, 'prevPrice': 170.33, 'priceDiff': -0.6047058, 'spyPriceDiff': -0.32471466}, 'minus_1_day': {'date': '2024-05-02', 'price': 173.03, 'prevPrice': 169.3, 'priceDiff': 2.2031937, 'spyPriceDiff': 0.9353409}, 'open': {'date': '2024-05-03', 'price': 186.645, 'prevPrice': 173.03, 'priceDiff': 7.868576, 'spyPriceDiff': 1.2137909}, 'high': {'date': '2024-05-03', 'price': 187, 'prevPrice': 173.03, 'priceDiff': 8.073746, 'spyPriceDiff': 1.4890213}, 'low': {'date': '2024-05-03', 'price': 182.66, 'prevPrice': 173.03, 'priceDiff': 5.5655136, 'spyPriceDiff': 0.6989746}, 'close': {'date': '2024-05-03', 'price': 183.38, 'prevPrice': 173.03, 'priceDiff': 5.981621, 'spyPriceDiff': 1.2395401}, 'plus_1_day': {'date': '2024-05-06', 'price': 181.71, 'prevPrice': 183.38, 'priceDiff': -0.91067505, 'spyPriceDiff': 1.0326843}, 'plus_2_days': {'date': '2024-05-07', 'price': 182.4, 'prevPrice': 181.71, 'priceDiff': 0.37971497, 'spyPriceDiff': 0.1103363}, 'plus_3_days': {'date': '2024-05-08', 'price': 182.74, 'prevPrice': 182.4, 'priceDiff': 0.186409, 'spyPriceDiff': 0.009666443}, 'plus_1_week': {'date': '2024-05-10', 'price': 183.05, 'prevPrice': 184.57, 'priceDiff': -0.82353973, 'spyPriceDiff': 0.1288147}, 'minus_1_week': {'date': '2024-04-26', 'price': 169.3, 'prevPrice': 169.89, 'priceDiff': -0.3472824, 'spyPriceDiff': 0.9473953}}"
AAPL,2024-02-01T16:30:00,2024Q1,2023-12-31,2024-01-30,2024-02-07,45.1,"{'minus_3_days': {'date': '2024-01-30', 'price': 188.04, 'prevPrice': 191.73, 'priceDiff': -1.9245834, 'spyPriceDiff': -0.0773468}, 'minus_2_days': {'date': '2024-01-31', 'price': 184.4, 'prevPrice': 188.04, 'priceDiff': -1.9357529, 'spyPriceDiff': -1.6317291}, 'minus_1_day': {'date': '2024-02-01', 'price': 186.86, 'prevPrice': 184.4, 'priceDiff': 1.3340607, 'spyPriceDiff': 1.3088074}, 'open': {'date': '2024-02-02', 'price': 179.86, 'prevPrice': 186.86, 'priceDiff': -3.7461243, 'spyPriceDiff': 0.09197998}, 'high': {'date': '2024-02-02', 'price': 187.33, 'prevPrice': 186.86, 'priceDiff': 0.2515335, 'spyPriceDiff': 1.4002457}, 'low': {'date': '2024-02-02', 'price': 179.25, 'prevPrice': 186.86, 'priceDiff': -4.072571, 'spyPriceDiff': 0.020431519}, 'close': {'date': '2024-02-02', 'price': 185.85, 'prevPrice': 186.86, 'priceDiff': -0.54050446, 'spyPriceDiff': 1.0527344}, 'plus_1_day': {'date': '2024-02-05', 'price': 187.68, 'prevPrice': 185.85, 'priceDiff': 0.9846573, 'spyPriceDiff': -0.36412048}, 'plus_2_days': {'date': '2024-02-06', 'price': 189.3, 'prevPrice': 187.68, 'priceDiff': 0.86318207, 'spyPriceDiff': 0.2903366}, 'plus_3_days': {'date': '2024-02-07', 'price': 189.41, 'prevPrice': 189.3, 'priceDiff': 0.0581131, 'spyPriceDiff': 0.8340378}, 'plus_1_week': {'date': '2024-02-09', 'price': 188.85, 'prevPrice': 188.32, 'priceDiff': 0.2814331, 'spyPriceDiff': 0.5779419}, 'minus_1_week': {'date': '2024-01-26', 'price': 192.42, 'prevPrice': 194.17, 'priceDiff': -0.901268, 'spyPriceDiff': -0.12704468}}"
AAPL,2023-11-02T16:30:00,2023Q4,2023-09-30,2023-10-31,2023-11-08,56.7,"{'minus_3_days': {'date': '2023-10-31', 'price': 170.77, 'prevPrice': 170.29, 'priceDiff': 0.28188324, 'spyPriceDiff': 0.62802887}, 'minus_2_days': {'date': '2023-11-01', 'price': 173.97, 'prevPrice': 170.77, 'priceDiff': 1.8738632, 'spyPriceDiff': 1.0664673}, 'minus_1_day': {'date': '2023-11-02', 'price': 177.57, 'prevPrice': 173.97, 'priceDiff': 2.0693283, 'spyPriceDiff': 1.9164352}, 'open': {'date': '2023-11-03', 'price': 174.24, 'prevPrice': 177.57, 'priceDiff': -1.8753204, 'spyPriceDiff': 0.5525131}, 'high': {'date': '2023-11-03', 'price': 176.82, 'prevPrice': 177.57, 'priceDiff': -0.4223709, 'spyPriceDiff': 1.2837753}, 'low': {'date': '2023-11-03', 'price': 173.35, 'prevPrice': 177.57, 'priceDiff': -2.3765259, 'spyPriceDiff': 0.5223236}, 'close': {'date': '2023-11-03', 'price': 176.65, 'prevPrice': 177.57, 'priceDiff': -0.5181122, 'spyPriceDiff': 0.9123459}, 'plus_1_day': {'date': '2023-11-06', 'price': 179.23, 'prevPrice': 176.65, 'priceDiff': 1.4605179, 'spyPriceDiff': 0.23004913}, 'plus_2_days': {'date': '2023-11-07', 'price': 181.82, 'prevPrice': 179.23, 'priceDiff': 1.445076, 'spyPriceDiff': 0.2845993}, 'plus_3_days': {'date': '2023-11-08', 'price': 182.89, 'prevPrice': 181.82, 'priceDiff': 0.5884857, 'spyPriceDiff': 0.07324219}, 'plus_1_week': {'date': '2023-11-10', 'price': 186.4, 'prevPrice': 182.41, 'priceDiff': 2.1873703, 'spyPriceDiff': 1.5604858}, 'minus_1_week': {'date': '2023-10-27', 'price': 168.22, 'prevPrice': 166.89, 'priceDiff': 0.79693604, 'spyPriceDiff': -0.4532776}}"
