2025-09-30,2024-09-30,2023-09-30,2022-09-30,2021-09-30,2020-09-30,2019-09-30,2018-09-30,2017-09-30,2016-09-30,2015-09-30,2014-09-30,2013-09-30,2012-09-30,2011-09-30
0.89330,0.86730,0.98800,0.87940,1.07460,1.36360,1.54010,1.13290,1.27610,1.35270,1.10880,1.08010,1.67860,1.49580,1.60840
0.51510,0.60090,0.60520,0.66140,0.63360,0.60160,0.50360,0.46660,0.42030,0.37030,0.30880,0.20630,0.12070,,
1.33800,1.87230,1.78750,2.36950,1.97680,1.72080,1.19400,1.06850,0.86300,0.67860,0.53900,0.31640,0.13730,,
46.90520,46.20640,44.13110,43.30960,41.77940,38.23330,37.81780,38.34370,38.46990,39.07600,40.05990,38.58800,37.62450,43.87120,40.47890
31.97080,31.51020,29.82140,30.28870,29.78240,24.14730,24.57200,26.69400,26.76040,27.83540,30.47730,28.72230,28.66950,35.29600,31.21510
31.97080,31.51020,29.82140,30.28870,29.78240,24.14730,24.57200,26.69400,26.76040,27.83540,30.47730,28.72230,28.66950,35.29600,31.21510
34.78170,34.43710,32.82680,33.10470,32.86700,28.17480,29.39460,30.79920,31.19130,32.70700,35.29380,33.06930,32.62300,37.38980,32.89080
31.89370,31.57900,29.67400,30.20400,29.85290,24.43980,25.26660,27.44890,27.95790,28.46050,31.02710,29.25850,29.34590,35.62950,31.59850
26.91510,23.97130,25.30620,25.30960,25.88180,20.91360,21.23810,22.41420,21.09240,21.18680,22.84580,21.61440,21.67050,26.66510,23.94660
1.15840,1.07140,1.08710,1.11790,1.04220,0.84760,0.76860,0.72620,0.61080,0.67030,0.80500,0.78850,0.82570,0.88890,0.93020
38.64290,28.87070,33.82360,45.19730,32.36790,41.75300,39.40140,41.39430,29.05210,61.62100,59.63770,53.17760,60.43420,111.05690,83.02960
5.70420,5.90300,6.28490,6.47160,7.10240,7.33120,5.68020,5.42090,6.42600,7.35990,7.70240,6.71570,8.28010,8.37300,9.23860
63.98800,61.83260,58.07570,56.40020,51.39100,49.78750,64.25880,67.33250,56.80070,49.59280,47.38760,54.35010,44.08150,43.59250,39.50800
151.91300,164.59350,156.07600,196.95890,150.07130,87.86640,61.06450,55.56010,36.07020,35.62370,44.73550,35.42010,29.97760,35.30410,33.83410
151.91300,164.59350,156.07600,196.95890,150.07130,87.86640,61.06450,55.56010,36.07020,38.19060,48.38780,38.43800,31.44250,36.98060,35.91150
31.17960,25.68250,27.50980,28.29240,26.97420,17.72560,16.32300,16.27750,12.88260,14.20240,18.38990,17.04200,17.89230,23.70330,22.27530
73.66120,65.68750,61.61270,66.69940,54.98390,35.00540,30.31130,29.63480,20.90820,22.43120,30.92010,28.11420,26.35920,35.30410,33.83410
4.99100,3.76730,3.99650,3.17820,3.84070,3.84870,5.09130,5.63340,6.53730,6.00850,5.34860,4.75380,4.90700,4.49500,2.94450
-0.245,0.684,-0.4913,1.3132,1.5664,0.8709,-0.14,0.8143,0.047,-0.4967,1.0688,0.381,0.1359,0.4903,1.431
-0.4793,0.7639,-0.5284,1.3146,1.3261,1.0183,-0.0388,0.7414,0.033,-0.5901,0.9743,0.3032,0.1363,0.3394,1.2685
