9/30/2025,9/30/2024,9/30/2023,9/30/2022
"359,241,000","364,980,000","352,583,000","352,755,000"
"285,508,000","308,030,000","290,437,000","302,083,000"
"73,733,000","56,950,000","62,146,000","50,672,000"
"152,061,000","142,700,000","157,427,000","149,631,000"
"73,733,000","56,950,000","62,146,000","50,672,000"
--,--,"12,842,000","12,411,000"
"73,733,000","56,950,000","62,146,000","50,672,000"
"-17,674,000","-23,405,000","-1,742,000","-18,577,000"
"172,390,000","163,579,000","173,234,000","170,741,000"
"73,733,000","56,950,000","62,146,000","50,672,000"
"98,657,000","106,629,000","111,088,000","132,480,000"
"62,723,000","76,686,000","81,123,000","96,423,000"
"14,773,260","15,116,786","15,550,061","15,943,425"
"14,773,260","15,116,786","15,550,061","15,943,425"
--,--,0,--
