Contract Name,Last Trade Date (EST),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
AAPL260211C00185000   ,1/30/2026  10:12 AM ,185   ,72.25 ,87.15 ,90.60 ,0.00 ,0.00% ,1 ,0 ,223.44% 
AAPL260211C00205000   ,2/6/2026  1:41 PM ,205   ,72.32 ,67.20 ,70.35 ,0.00 ,0.00% ,1 ,0 ,131.25% 
AAPL260211C00210000   ,2/5/2026  1:08 PM ,210   ,64.75 ,62.35 ,65.10 ,0.00 ,0.00% ,- ,0 ,242.97% 
AAPL260211C00225000   ,2/4/2026  3:49 PM ,225   ,53.25 ,47.35 ,50.55 ,0.00 ,0.00% ,2 ,1 ,130.27% 
AAPL260211C00230000   ,2/6/2026  9:30 AM ,230   ,47.90 ,42.35 ,45.35 ,0.00 ,0.00% ,6 ,1 ,105.08% 
AAPL260211C00232500   ,2/3/2026  9:50 AM ,232.5   ,37.05 ,39.85 ,42.85 ,0.00 ,0.00% ,- ,0 ,99.22% 
AAPL260211C00235000   ,2/4/2026  3:55 PM ,235   ,42.15 ,37.20 ,40.55 ,0.00 ,0.00% ,3 ,0 ,97.07% 
AAPL260211C00237500   ,1/30/2026  10:51 AM ,237.5   ,18.25 ,34.85 ,37.85 ,0.00 ,0.00% ,17 ,0 ,87.89% 
AAPL260211C00240000   ,2/6/2026  2:19 PM ,240   ,37.89 ,32.35 ,35.35 ,0.00 ,0.00% ,1 ,0 ,82.23% 
AAPL260211C00242500   ,2/2/2026  10:37 AM ,242.5   ,22.20 ,29.85 ,32.85 ,0.00 ,0.00% ,2 ,0 ,76.56% 
AAPL260211C00245000   ,2/9/2026  2:45 PM ,245   ,28.19 ,27.35 ,30.55 ,0.00 ,0.00% ,52 ,51 ,80.27% 
AAPL260211C00247500   ,2/6/2026  2:26 PM ,247.5   ,29.45 ,24.85 ,27.55 ,0.00 ,0.00% ,52 ,0 ,115.09% 
AAPL260211C00250000   ,2/10/2026  10:41 AM ,250   ,24.65 ,22.40 ,25.55 ,1.97 ,8.69% ,5 ,5 ,69.53% 
AAPL260211C00252500   ,2/10/2026  10:41 AM ,252.5   ,22.09 ,19.90 ,22.55 ,-3.66 ,-14.21% ,2 ,0 ,98.34% 
AAPL260211C00255000   ,2/10/2026  12:06 PM ,255   ,18.71 ,17.40 ,20.65 ,0.45 ,2.46% ,1 ,13 ,59.38% 
AAPL260211C00257500   ,2/10/2026  12:45 PM ,257.5   ,16.28 ,14.90 ,17.55 ,-0.56 ,-3.33% ,11 ,16 ,81.25% 
AAPL260211C00260000   ,2/10/2026  11:41 AM ,260   ,13.58 ,13.25 ,14.30 ,-1.42 ,-9.47% ,6 ,261 ,55.13% 
AAPL260211C00262500   ,2/10/2026  10:26 AM ,262.5   ,12.24 ,10.95 ,11.80 ,-0.01 ,-0.08% ,6 ,234 ,47.51% 
AAPL260211C00265000   ,2/10/2026  1:48 PM ,265   ,9.20 ,8.70 ,9.40 ,0.20 ,2.22% ,60 ,330 ,41.94% 
AAPL260211C00267500   ,2/10/2026  2:10 PM ,267.5   ,6.65 ,6.40 ,6.75 ,-0.40 ,-5.67% ,246 ,366 ,30.52% 
AAPL260211C00270000   ,2/10/2026  2:17 PM ,270   ,4.30 ,4.25 ,4.35 ,-1.15 ,-20.91% ,"1,117 ","1,437 ",23.71% 
AAPL260211C00272500   ,2/10/2026  2:17 PM ,272.5   ,2.36 ,2.35 ,2.39 ,-1.09 ,-31.14% ,"6,448 ","2,141 ",20.85% 
AAPL260211C00275000   ,2/10/2026  2:17 PM ,275   ,1.01 ,1.00 ,1.01 ,-0.85 ,-45.70% ,"38,459 ","4,133 ",19.12% 
AAPL260211C00277500   ,2/10/2026  2:15 PM ,277.5   ,0.33 ,0.32 ,0.33 ,-0.57 ,-63.33% ,"21,011 ","3,990 ",18.70% 
AAPL260211C00280000   ,2/10/2026  2:14 PM ,280   ,0.10 ,0.10 ,0.11 ,-0.31 ,-75.61% ,"15,037 ","7,762 ",19.83% 
