TTM,9/30/2025,9/30/2024,9/30/2023,9/30/2022
"135,472,000","111,482,000","118,254,000","110,543,000","122,151,000"
"517,000","15,195,000","2,935,000","3,705,000","-22,354,000"
"-120,971,000","-120,686,000","-121,983,000","-108,488,000","-110,749,000"
"45,317,000","35,934,000","29,943,000","30,737,000","24,977,000"
"28,152,000","43,369,000","26,102,000","18,679,000","19,573,000"
--,--,--,"3,803,000","2,865,000"
"-12,148,000","-12,715,000","-9,447,000","-10,959,000","-10,708,000"
"4,481,000","4,481,000",0,"5,228,000","5,465,000"
"-10,053,000","-10,932,000","-9,958,000","-11,151,000","-9,543,000"
"-91,806,000","-90,711,000","-94,949,000","-77,550,000","-89,402,000"
"123,324,000","98,767,000","108,807,000","99,584,000","111,443,000"
