TTM,9/30/2025,9/30/2024,9/30/2023,9/30/2022
"435,617,000","416,161,000","391,035,000","383,285,000","394,328,000"
"229,460,000","220,960,000","210,352,000","214,137,000","223,546,000"
"206,157,000","195,201,000","180,683,000","169,148,000","170,782,000"
"65,087,000","62,151,000","57,467,000","54,847,000","51,345,000"
"141,070,000","133,050,000","123,216,000","114,301,000","119,437,000"
--,--,--,"-183,000","-106,000"
"77,000","-321,000","269,000","-565,000","-334,000"
"141,147,000","132,729,000","123,485,000","113,736,000","119,103,000"
"23,370,000","20,719,000","29,749,000","16,741,000","19,300,000"
"117,777,000","112,010,000","93,736,000","96,995,000","99,803,000"
"117,777,000","112,010,000","93,736,000","96,995,000","99,803,000"
7.93,7.49,6.11,6.16,6.15
7.90,7.46,6.08,6.13,6.11
"14,865,108.50","14,948,500","15,343,783","15,744,231","16,215,963"
"14,919,569.75","15,004,697","15,408,095","15,812,547","16,325,819"
"141,070,000","133,050,000","123,216,000","114,301,000","119,437,000"
"294,547,000","283,111,000","267,819,000","268,984,000","274,891,000"
"117,777,000","112,010,000","93,736,000","96,995,000","99,803,000"
"117,777,000","112,010,000","93,736,000","96,995,000","99,803,000"
--,--,--,"3,750,000","2,825,000"
--,--,--,"3,933,000","2,931,000"
--,--,--,"-183,000","-106,000"
"141,070,000","133,050,000","123,216,000","114,301,000","119,437,000"
"152,902,000","144,748,000","134,661,000","125,820,000","130,541,000"
"229,460,000","220,960,000","210,352,000","214,137,000","223,546,000"
"11,832,000","11,698,000","11,445,000","11,519,000","11,104,000"
"117,777,000","112,010,000","93,736,000","96,995,000","99,803,000"
"152,902,000","144,748,000","134,661,000","125,820,000","130,541,000"
0,0,0,0,0
0,0,0,0,0
