Name,Title,Pay,Exercised,Year Born
Mr. Timothy D. Cook ,CEO & Director ,16.76M ,-- ,1961 
Mr. Kevan  Parekh ,Senior VP & CFO ,4.03M ,-- ,1972 
Mr. Sabih  Khan ,Senior VP & Chief Operating Officer ,5.02M ,-- ,1967 
Ms. Katherine L. Adams ,"Senior VP, General Counsel & Secretary ",5.02M ,-- ,1964 
Ms. Deirdre  O'Brien ,Senior Vice President of Retail & People ,5.04M ,-- ,1967 
Mr. Ben  Borders ,Principal Accounting Officer ,-- ,-- ,1981 
Suhasini  Chandramouli ,Director of Investor Relations ,-- ,-- ,-- 
Ms. Kristin Huguet Quayle ,Vice President of Worldwide Communications ,-- ,-- ,-- 
Mr. Greg  Joswiak ,Senior Vice President of Worldwide Marketing ,-- ,-- ,-- 
Mr. Adrian  Perica ,Vice President of Corporate Development ,-- ,-- ,1974 
