Contract Name,Last Trade Date (EST),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
AAPL260211P00180000   ,2/9/2026  10:35 AM ,180   ,0.02 ,0.00 ,0.01 ,0.00 ,0.00% ,347 ,847 ,175.00% 
AAPL260211P00185000   ,2/9/2026  10:35 AM ,185   ,0.07 ,0.00 ,0.01 ,0.00 ,0.00% ,347 ,352 ,162.50% 
AAPL260211P00190000   ,2/9/2026  11:42 AM ,190   ,0.25 ,0.00 ,0.01 ,0.00 ,0.00% ,298 ,300 ,156.25% 
AAPL260211P00195000   ,2/9/2026  11:42 AM ,195   ,0.30 ,0.00 ,0.01 ,0.00 ,0.00% ,298 ,299 ,143.75% 
AAPL260211P00200000   ,2/3/2026  12:28 PM ,200   ,0.02 ,0.00 ,0.01 ,0.00 ,0.00% ,20 ,19 ,134.38% 
AAPL260211P00205000   ,2/10/2026  1:54 PM ,205   ,0.01 ,0.00 ,0.01 ,-0.03 ,-75.00% ,1 ,1 ,125.00% 
AAPL260211P00210000   ,2/9/2026  9:34 AM ,210   ,1.04 ,0.00 ,0.21 ,0.00 ,0.00% ,2 ,106 ,156.64% 
AAPL260211P00215000   ,2/10/2026  1:46 PM ,215   ,0.21 ,0.00 ,0.04 ,0.19 ,950.00% ,1 ,19 ,118.75% 
AAPL260211P00220000   ,2/9/2026  12:20 PM ,220   ,0.01 ,0.00 ,1.77 ,0.00 ,0.00% ,2 ,49 ,189.65% 
AAPL260211P00222500   ,2/6/2026  9:43 AM ,222.5   ,0.01 ,0.00 ,2.12 ,0.00 ,0.00% ,1 ,1 ,189.26% 
AAPL260211P00225000   ,2/6/2026  3:57 PM ,225   ,0.02 ,0.00 ,0.10 ,0.00 ,0.00% ,202 ,220 ,108.98% 
AAPL260211P00227500   ,2/10/2026  1:55 PM ,227.5   ,0.01 ,0.00 ,2.13 ,-0.01 ,-50.00% ,1 ,5 ,173.19% 
AAPL260211P00230000   ,2/9/2026  11:40 AM ,230   ,0.01 ,0.00 ,0.60 ,0.00 ,0.00% ,9 ,16 ,127.34% 
AAPL260211P00232500   ,2/9/2026  1:57 PM ,232.5   ,0.01 ,0.00 ,0.86 ,0.00 ,0.00% ,77 ,87 ,129.00% 
AAPL260211P00235000   ,2/9/2026  1:07 PM ,235   ,0.01 ,0.00 ,0.01 ,0.00 ,0.00% ,28 ,145 ,68.75% 
AAPL260211P00237500   ,2/9/2026  3:47 PM ,237.5   ,0.01 ,0.00 ,1.03 ,0.00 ,0.00% ,23 ,56 ,119.34% 
AAPL260211P00240000   ,2/10/2026  12:07 PM ,240   ,0.01 ,0.00 ,0.45 ,0.00 ,0.00% ,150 ,335 ,95.70% 
AAPL260211P00242500   ,2/10/2026  11:43 AM ,242.5   ,0.01 ,0.00 ,0.04 ,-0.01 ,-50.00% ,1 ,207 ,64.06% 
AAPL260211P00245000   ,2/10/2026  10:50 AM ,245   ,0.01 ,0.00 ,0.02 ,-0.01 ,-50.00% ,134 ,201 ,54.69% 
AAPL260211P00247500   ,2/10/2026  10:56 AM ,247.5   ,0.01 ,0.00 ,0.01 ,-0.01 ,-50.00% ,14 ,159 ,50.00% 
AAPL260211P00250000   ,2/10/2026  1:59 PM ,250   ,0.01 ,0.01 ,0.02 ,-0.02 ,-66.67% ,317 ,687 ,49.22% 
